Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
33,3444,144,1,4,91
36,0,140,1,3,143
56,589,518,1,2,147
51,3132,449,1,1,176
33,1005,175,1,2,174
34,899,114,1,3,170
30,873,119,1,3,167
30,1243,86,1,1,174
44,1631,81,1,2,195
51,119,200,1,2,165
51,58,79,1,2,129
44,6203,58,1,1,188
34,105,303,1,2,196
49,1533,324,1,1,172
47,228,80,1,1,118
40,1623,161,1,2,167
47,1484,297,1,3,119
54,198,120,1,2,171
48,295,123,1,2,164
45,1477,75,1,1,132
39,401,396,1,2,129
39,3324,96,1,1,131
37,0,44,1,2,123
49,64,208,1,1,159
58,0,219,1,2,186
43,1865,155,1,1,186
50,633,302,1,6,111
56,2749,38,1,2,172
51,209,130,1,2,111
50,246,270,1,2,123
45,1415,483,1,1,116
40,5766,68,2,1,173
30,101,348,1,1,123
36,5057,70,1,10,166
34,1265,118,1,3,164
48,8106,125,1,3,111
59,0,90,2,2,110
53,1364,508,1,1,115
46,46,80,1,1,152
52,5423,93,1,1,115
58,8332,164,2,4,96
56,689,110,1,4,103
34,0,214,1,2,174
32,4344,79,2,3,118
54,472,229,2,1,150
59,252,138,1,2,175
40,0,74,2,1,196
45,4425,147,1,2,110
43,-36,190,1,1,104
43,0,103,2,3,193
55,1730,89,2,3,118
49,202,651,2,1,104
49,313,42,2,2,188
39,419,186,1,1,181
42,14282,77,1,4,103
42,1048,71,1,1,186
41,112,1081,1,1,131
51,563,504,1,3,123
36,1797,166,1,2,181
52,3440,124,1,1,131
42,373,174,1,3,154
45,2020,62,1,1,131
35,24,128,1,1,181
38,425,240,1,1,181
47,80,74,1,1,145
43,634,65,1,1,131
42,970,725,1,10,119
50,830,71,1,2,138
54,2719,166,2,2,171
44,0,58,1,2,195
51,248,139,2,3,126
51,12061,150,1,1,188
42,-15,89,1,1,145
46,0,407,1,3,150
50,4,223,1,2,96
58,3111,111,1,2,188
44,1451,157,3,12,150
41,557,158,1,1,173
37,600,116,2,1,196
53,350,113,3,2,132
53,248,99,1,3,126
52,1818,189,2,4,111
36,3837,184,1,1,193
37,0,65,2,1,119
44,58,48,1,3,126
32,0,159,2,2,195
41,20,99,1,2,151
37,-954,69,1,3,180
43,0,836,1,2,129
51,230,174,1,1,195
56,505,171,1,2,172
38,821,224,2,1,180
42,275,295,2,9,109
34,1049,101,2,1,129
51,1414,422,3,2,186
38,0,78,2,2,193
38,11971,609,2,3,101
53,2269,1091,2,1,150
41,271,148,2,2,172
48,-478,87,5,6,167
54,3795,227,2,1,119
55,653,193,2,1,186
38,1255,151,2,2,171
50,-403,130,2,2,119
42,2636,178,2,1,151
40,1029,117,2,3,117
57,1502,340,2,11,109
30,426,127,4,6,111
56,237,117,3,4,131
39,8,333,2,2,96
43,1043,57,4,3,119
42,1027,188,2,2,168
44,724,157,2,1,172
36,0,273,2,1,131
40,219,204,2,1,196
48,2106,499,2,1,195
43,2767,374,1,7,186
40,1269,353,1,1,172
56,1150,107,1,3,117
37,5115,1210,2,4,171
56,1092,176,3,4,186
37,121,211,2,2,151
58,644,220,4,4,109
45,781,652,2,2,126
50,0,114,4,2,168
44,106,17,1,1,175
40,755,408,1,1,117
43,1201,82,1,3,97
40,3059,41,1,1,182
36,4324,139,4,4,127
44,756,65,1,2,130
37,723,119,1,2,110
37,195,68,1,2,194
42,2249,228,1,5,125
53,137,52,1,1,176
44,10888,67,1,1,105
41,4320,164,1,2,166
