Age,Job,Marital,Education,Default,Annual Balance,Loan (Housing loan / Personal loan),Last Contact Duration,# Contacts Currently,# Contacts Previously,Days Since Last Contacted,Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
33,services,married,secondary,no,3444,H-,144,1,4,91,failure,yes
36,management,married,tertiary,no,0,H-,140,1,3,143,failure,yes
56,technician,married,secondary,no,589,H-,518,1,2,147,success,yes
51,admin.,single,secondary,no,3132,--,449,1,1,176,failure,no
33,unemployed,divorced,secondary,no,1005,H-,175,1,2,174,failure,no
34,admin.,married,tertiary,no,899,H-,114,1,3,170,failure,yes
30,admin.,married,secondary,no,873,H-,119,1,3,167,success,no
30,management,single,tertiary,no,1243,H-,86,1,1,174,failure,no
44,entrepreneur,married,tertiary,no,1631,H-,81,1,2,195,failure,no
51,management,divorced,tertiary,no,119,--,200,1,2,165,failure,no
51,technician,married,secondary,no,58,H-,79,1,2,129,failure,no
44,management,married,tertiary,no,6203,HP,58,1,1,188,failure,no
34,technician,single,secondary,no,105,H-,303,1,2,196,failure,no
49,management,married,tertiary,no,1533,--,324,1,1,172,failure,no
47,housemaid,married,tertiary,no,228,H-,80,1,1,118,failure,no
40,management,single,secondary,no,1623,H-,161,1,2,167,failure,no
47,blue-collar,married,secondary,no,1484,--,297,1,3,119,failure,no
54,technician,single,secondary,no,198,HP,120,1,2,171,failure,no
48,admin.,divorced,secondary,no,295,H-,123,1,2,164,success,no
45,technician,married,secondary,no,1477,H-,75,1,1,132,failure,no
39,admin.,married,secondary,no,401,H-,396,1,2,129,failure,no
39,blue-collar,married,primary,no,3324,--,96,1,1,131,failure,no
37,management,married,tertiary,yes,0,--,44,1,2,123,failure,no
49,management,married,tertiary,no,64,--,208,1,1,159,success,no
58,admin.,married,unknown,no,0,H-,219,1,2,186,failure,no
43,technician,married,secondary,no,1865,H-,155,1,1,186,failure,no
50,management,married,secondary,no,633,-P,302,1,6,111,failure,no
56,retired,married,secondary,no,2749,HP,38,1,2,172,failure,no
51,entrepreneur,married,tertiary,no,209,--,130,1,2,111,failure,no
50,technician,single,secondary,no,246,H-,270,1,2,123,failure,no
45,technician,married,secondary,no,1415,H-,483,1,1,116,failure,no
40,services,divorced,secondary,no,5766,HP,68,2,1,173,failure,no
30,management,married,tertiary,no,101,H-,348,1,1,123,failure,no
36,management,married,tertiary,no,5057,H-,70,1,10,166,failure,no
34,housemaid,married,tertiary,no,1265,H-,118,1,3,164,failure,no
48,management,single,tertiary,no,8106,--,125,1,3,111,failure,no
59,management,married,tertiary,no,0,--,90,2,2,110,failure,no
53,services,married,secondary,no,1364,--,508,1,1,115,failure,no
46,management,single,tertiary,no,46,-P,80,1,1,152,failure,no
52,retired,married,secondary,no,5423,-P,93,1,1,115,failure,no
58,retired,married,secondary,no,8332,--,164,2,4,96,failure,no
56,technician,divorced,secondary,no,689,H-,110,1,4,103,failure,no
34,admin.,single,secondary,no,0,H-,214,1,2,174,failure,no
32,admin.,single,secondary,no,4344,H-,79,2,3,118,failure,no
54,technician,married,secondary,no,472,HP,229,2,1,150,failure,no
59,management,married,primary,no,252,HP,138,1,2,175,failure,no
40,technician,married,secondary,no,0,H-,74,2,1,196,failure,no
