Type of Job,Marital Status,Education Level,Credit in Default,Loan (Housing loan / Personal loan),Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
services,married,secondary,no,H-,failure,yes
management,married,tertiary,no,H-,failure,yes
technician,married,secondary,no,H-,success,yes
admin.,single,secondary,no,--,failure,no
unemployed,divorced,secondary,no,H-,failure,no
admin.,married,tertiary,no,H-,failure,yes
admin.,married,secondary,no,H-,success,no
management,single,tertiary,no,H-,failure,no
entrepreneur,married,tertiary,no,H-,failure,no
management,divorced,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
technician,single,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
housemaid,married,tertiary,no,H-,failure,no
management,single,secondary,no,H-,failure,no
blue-collar,married,secondary,no,--,failure,no
technician,single,secondary,no,HP,failure,no
admin.,divorced,secondary,no,H-,success,no
technician,married,secondary,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
blue-collar,married,primary,no,--,failure,no
management,married,tertiary,yes,--,failure,no
management,married,tertiary,no,--,success,no
admin.,married,unknown,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
management,married,secondary,no,-P,failure,no
retired,married,secondary,no,HP,failure,no
entrepreneur,married,tertiary,no,--,failure,no
technician,single,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
services,divorced,secondary,no,HP,failure,no
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
housemaid,married,tertiary,no,H-,failure,no
management,single,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
services,married,secondary,no,--,failure,no
management,single,tertiary,no,-P,failure,no
retired,married,secondary,no,-P,failure,no
retired,married,secondary,no,--,failure,no
technician,divorced,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
technician,married,secondary,no,HP,failure,no
management,married,primary,no,HP,failure,no
technician,married,secondary,no,H-,failure,no
management,married,secondary,no,--,failure,no
technician,divorced,secondary,no,H-,failure,no
technician,married,secondary,no,-P,failure,no
entrepreneur,divorced,tertiary,no,--,failure,no
services,married,secondary,no,H-,failure,yes
entrepreneur,married,tertiary,no,H-,failure,no
blue-collar,single,primary,no,H-,failure,no
technician,married,tertiary,no,H-,success,no
services,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
blue-collar,married,secondary,no,HP,failure,no
technician,married,tertiary,no,H-,failure,no
entrepreneur,married,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
entrepreneur,married,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
technician,married,secondary,no,-P,failure,no
self-employed,married,secondary,no,H-,failure,no
unemployed,married,unknown,no,H-,success,no
management,married,tertiary,no,--,failure,no
services,married,secondary,no,H-,failure,no
unemployed,married,secondary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
technician,married,secondary,no,H-,failure,no
technician,single,secondary,no,--,failure,no
services,divorced,secondary,no,--,success,no
management,married,tertiary,no,--,failure,no
unknown,divorced,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
unemployed,married,primary,no,H-,failure,no
management,single,tertiary,no,H-,failure,no
admin.,married,secondary,no,-P,failure,no
self-employed,married,secondary,no,-P,failure,no
technician,married,secondary,no,-P,failure,no
management,divorced,tertiary,no,H-,success,no
admin.,married,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
admin.,married,secondary,no,HP,failure,no
management,married,tertiary,no,H-,failure,no
services,married,secondary,yes,H-,failure,no
housemaid,married,primary,no,-P,failure,no
blue-collar,married,primary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
technician,married,secondary,no,HP,failure,no
technician,married,primary,no,--,failure,no
management,single,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
management,single,tertiary,no,H-,failure,no
retired,married,tertiary,no,--,success,yes
blue-collar,married,secondary,no,H-,failure,no
management,divorced,tertiary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
entrepreneur,married,secondary,no,H-,failure,no
technician,single,secondary,no,H-,failure,no
technician,divorced,secondary,no,-P,failure,no
unemployed,married,primary,no,--,failure,no
housemaid,married,secondary,no,HP,failure,no
management,married,secondary,no,--,failure,no
technician,single,secondary,no,H-,failure,no
management,single,secondary,no,H-,failure,no
technician,married,secondary,no,-P,failure,no
services,divorced,secondary,no,H-,failure,no
services,married,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
unemployed,married,secondary,no,H-,failure,no
technician,married,unknown,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
services,married,secondary,no,-P,failure,no
technician,married,secondary,no,H-,failure,yes
management,single,tertiary,no,HP,failure,no
management,married,secondary,no,-P,failure,no
blue-collar,divorced,secondary,no,-P,failure,no
entrepreneur,married,secondary,no,-P,failure,yes
technician,married,secondary,no,H-,failure,no
technician,divorced,secondary,no,H-,failure,no
blue-collar,married,secondary,no,--,failure,no
technician,married,tertiary,no,HP,failure,no
self-employed,married,tertiary,no,HP,failure,no
housemaid,married,primary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
entrepreneur,married,tertiary,no,H-,failure,no
technician,married,secondary,no,-P,failure,no
technician,married,secondary,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,success,no
technician,single,unknown,no,HP,failure,no
management,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,success,no
blue-collar,married,unknown,no,H-,failure,no
admin.,single,secondary,no,HP,success,no
technician,married,secondary,no,H-,failure,no
management,single,secondary,no,H-,failure,no
technician,single,secondary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
technician,married,secondary,no,HP,failure,no
admin.,divorced,secondary,no,H-,failure,no
blue-collar,single,secondary,no,H-,failure,no
management,single,tertiary,no,H-,failure,no
housemaid,single,tertiary,no,--,failure,no
entrepreneur,married,secondary,no,-P,failure,no
services,divorced,secondary,no,-P,failure,no
blue-collar,married,primary,no,HP,failure,no
management,single,tertiary,no,-P,failure,no
blue-collar,married,primary,no,H-,failure,no
blue-collar,single,secondary,no,-P,failure,no
management,single,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,single,tertiary,no,H-,failure,no
self-employed,married,tertiary,no,--,failure,no
management,married,tertiary,no,H-,failure,no
services,married,secondary,no,H-,success,no
technician,single,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
services,married,secondary,no,H-,failure,no
technician,single,secondary,yes,-P,failure,no
technician,single,secondary,yes,H-,failure,no
admin.,single,secondary,no,-P,failure,no
management,married,primary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
admin.,married,secondary,no,HP,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
self-employed,married,tertiary,no,H-,failure,no
services,single,secondary,no,H-,failure,no
unemployed,single,tertiary,no,H-,failure,no
technician,married,secondary,no,HP,failure,no
management,divorced,tertiary,no,H-,failure,no
admin.,divorced,secondary,no,--,failure,no
admin.,divorced,secondary,no,HP,failure,no
entrepreneur,married,unknown,no,--,failure,no
blue-collar,married,primary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
blue-collar,single,secondary,no,H-,failure,no
services,single,secondary,no,H-,failure,no
services,single,secondary,no,H-,failure,no
blue-collar,married,secondary,no,HP,failure,no
technician,married,secondary,no,--,failure,no
technician,married,secondary,no,--,failure,no
blue-collar,married,secondary,no,--,success,no
management,single,tertiary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,no
management,divorced,tertiary,no,H-,failure,no
admin.,divorced,secondary,no,--,failure,no
entrepreneur,single,primary,no,H-,failure,no
management,married,primary,no,--,failure,no
management,single,tertiary,no,H-,failure,no
blue-collar,married,primary,no,-P,failure,no
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,-P,failure,no
management,married,tertiary,no,--,failure,no
blue-collar,single,secondary,no,H-,success,no
self-employed,single,tertiary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
services,married,secondary,no,HP,failure,no
management,married,tertiary,no,H-,failure,no
services,single,secondary,no,HP,failure,no
technician,married,secondary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,HP,failure,no
